0,1,2,3
#A-C=7.17,19.46,259.07,1594397075.8254454
#M-C=-45.50,-281.33,-120.50,1594397075.8312824
#G-C=-454.00,255.00,273.00,1594397075.836283
#A-C=8.19,29.70,250.88,1594397075.845381
#M-C=-46.83,-278.50,-115.83,1594397075.8515792
#G-C=-478.00,185.00,322.00,1594397075.8583786
#A-C=16.38,38.91,241.66,1594397075.8654635
#M-C=-51.50,-272.83,-104.17,1594397075.8713274
#G-C=-571.00,267.00,283.00,1594397075.8779507
#A-C=25.60,43.01,238.59,1594397075.8852797
#M-C=-53.17,-270.33,-97.17,1594397075.8912048
#G-C=-663.00,392.00,328.00,1594397075.8962104
#A-C=33.79,43.01,239.62,1594397075.9055388
#M-C=-58.50,-265.33,-85.67,1594397075.9128194
#G-C=-721.00,466.00,413.00,1594397075.919188
#A-C=29.70,38.91,234.50,1594397075.9251895
#M-C=-61.33,-262.50,-79.17,1594397075.9313283
#G-C=-746.00,423.00,430.00,1594397075.936144
#A-C=36.86,36.86,232.45,1594397075.9454675
#M-C=-64.67,-256.50,-68.50,1594397075.9516199
#G-C=-737.00,372.00,396.00,1594397075.9578412
#A-C=53.25,41.98,237.57,1594397075.965429
#M-C=-66.33,-253.17,-62.00,1594397075.9712682
#G-C=-607.00,394.00,299.00,1594397075.9774969
#A-C=48.13,46.08,227.33,1594397075.9853694
#M-C=-68.17,-247.50,-51.67,1594397075.9915075
#G-C=-523.00,478.00,267.00,1594397075.9980927
#A-C=60.42,55.30,230.40,1594397076.0053937
#M-C=-70.17,-245.00,-45.67,1594397076.0112696
#G-C=-536.00,571.00,299.00,1594397076.0163445
#A-C=63.49,59.39,235.52,1594397076.0254152
#M-C=-72.33,-239.00,-34.17,1594397076.0314279
#G-C=-523.00,671.00,376.00,1594397076.0376945
#A-C=59.39,53.25,246.78,1594397076.0453355
#M-C=-74.17,-235.50,-28.17,1594397076.0515182
#G-C=-570.00,567.00,415.00,1594397076.0566525
#A-C=65.54,52.22,246.78,1594397076.0654495
#M-C=-77.00,-231.67,-20.33,1594397076.0716157
#G-C=-592.00,382.00,426.00,1594397076.0772023
#A-C=71.68,53.25,239.62,1594397076.0854273
#M-C=-78.17,-223.50,-14.50,1594397076.0912683
#G-C=-590.00,290.00,451.00,1594397076.0977893
#A-C=71.68,59.39,229.38,1594397076.1053588
#M-C=-79.50,-219.67,-9.67,1594397076.1112542
#G-C=-580.00,354.00,490.00,1594397076.1174538
#A-C=73.73,60.42,229.38,1594397076.1254847
#M-C=-81.67,-211.33,0.17,1594397076.1314225
#G-C=-584.00,475.00,506.00,1594397076.136289
#A-C=73.73,54.27,234.50,1594397076.1453185
#M-C=-82.50,-207.00,4.83,1594397076.1513948
#G-C=-585.00,494.00,482.00,1594397076.1575093
#A-C=77.82,56.32,228.35,1594397076.1654334
#M-C=-82.83,-197.83,13.00,1594397076.1713905
#G-C=-620.00,416.00,450.00,1594397076.1775987
#A-C=89.09,58.37,223.23,1594397076.1854243
#M-C=-83.00,-193.17,17.00,1594397076.1912568
#G-C=-596.00,414.00,467.00,1594397076.1976583
#A-C=94.21,62.46,210.94,1594397076.2054532
#M-C=-83.00,-183.50,25.50,1594397076.211441
#G-C=-536.00,559.00,531.00,1594397076.2164423
#A-C=86.02,59.39,203.78,1594397076.225405
#M-C=-82.17,-178.33,29.17,1594397076.231404
#G-C=-572.00,652.00,508.00,1594397076.2364666
#A-C=78.85,63.49,198.66,1594397076.245488
#M-C=-80.83,-168.83,36.33,1594397076.2530878
#G-C=-560.00,616.00,383.00,1594397076.258533
#A-C=87.04,63.49,196.61,1594397076.2654965
#M-C=-79.67,-164.83,39.17,1594397076.2713506
#G-C=-442.00,570.00,299.00,1594397076.275908
#A-C=101.38,63.49,190.46,1594397076.2853937
#M-C=-76.33,-156.67,43.50,1594397076.2913566
#G-C=-303.00,510.00,286.00,1594397076.2975187
#A-C=106.50,63.49,195.58,1594397076.305429
#M-C=-74.83,-153.67,44.50,1594397076.311528
#G-C=-168.00,384.00,277.00,1594397076.3166947
#A-C=103.42,64.51,187.39,1594397076.3254771
#M-C=-72.83,-147.67,46.50,1594397076.3317301
#G-C=-131.00,221.00,272.00,1594397076.3367336
#A-C=106.50,69.63,190.46,1594397076.3452687
#M-C=-72.00,-145.17,46.83,1594397076.35152
#G-C=-125.00,70.00,243.00,1594397076.356668
#A-C=105.47,74.75,185.34,1594397076.3654256
#M-C=-69.00,-140.67,47.33,1594397076.3712695
#G-C=-113.00,-34.00,215.00,1594397076.3762307
#A-C=110.59,77.82,174.08,1594397076.385378
#M-C=-68.17,-138.83,47.00,1594397076.3913412
#G-C=-127.00,-19.00,168.00,1594397076.3966048
#A-C=116.74,77.82,178.18,1594397076.4055142
#M-C=-65.83,-135.17,46.67,1594397076.4112906
#G-C=-124.00,22.00,143.00,1594397076.4164248
#A-C=118.78,71.68,189.44,1594397076.4253027
#M-C=-65.50,-133.67,46.83,1594397076.4313428
#G-C=32.00,6.00,125.00,1594397076.4365537
#A-C=114.69,74.75,183.30,1594397076.4453866
#M-C=-63.67,-130.67,46.50,1594397076.4513319
#G-C=58.00,-53.00,117.00,1594397076.4560647
#A-C=115.71,78.85,175.10,1594397076.4653695
#M-C=-63.00,-129.83,46.17,1594397076.4714437
#G-C=4.00,-98.00,109.00,1594397076.4766784
#A-C=121.86,77.82,184.32,1594397076.4853957
#M-C=-62.00,-127.50,46.00,1594397076.4912803
#G-C=-52.00,-49.00,116.00,1594397076.4964461
#A-C=119.81,74.75,184.32,1594397076.5053244
#M-C=-61.33,-126.17,46.33,1594397076.511272
#G-C=-26.00,65.00,113.00,1594397076.5173583
#A-C=115.71,72.70,192.51,1594397076.525396
#M-C=-60.67,-123.17,45.83,1594397076.5314393
#G-C=-38.00,192.00,129.00,1594397076.536196
#A-C=112.64,69.63,192.51,1594397076.546592
#M-C=-60.50,-122.00,47.17,1594397076.5528855
#G-C=-112.00,212.00,127.00,1594397076.5587766
#A-C=115.71,72.70,189.44,1594397076.5652719
#M-C=-58.50,-120.67,46.67,1594397076.5712686
#G-C=-205.00,110.00,84.00,1594397076.5764902
#A-C=125.95,76.80,187.39,1594397076.5853534
