0,1,2,3
#A-C=-7.17,3.07,240.64,1594399653.4001637
#M-C=139.33,-206.50,3.00,1594399653.4067435
#G-C=7.00,7.00,252.00,1594399653.4118297
#A-C=-9.22,3.07,242.69,1594399653.4201274
#M-C=139.50,-206.67,3.00,1594399653.4262276
#G-C=5.00,-4.00,-255.00,1594399653.4344797
#A-C=-8.19,3.07,243.71,1594399653.4401069
#M-C=139.67,-206.17,3.33,1594399653.4461884
#G-C=-8.00,-6.00,-6.00,1594399653.4524364
#A-C=-10.24,4.10,243.71,1594399653.4601629
#M-C=139.17,-206.50,2.83,1594399653.4661093
#G-C=-6.00,5.00,-2.00,1594399653.4713163
#A-C=-9.22,4.10,241.66,1594399653.480178
#M-C=139.83,-207.00,2.83,1594399653.4876895
#G-C=5.00,6.00,-8.00,1594399653.492585
#A-C=-9.22,2.05,242.69,1594399653.5002224
#M-C=139.33,-206.00,2.50,1594399653.5060441
#G-C=-15.00,-5.00,-5.00,1594399653.5110824
#A-C=-10.24,4.10,244.74,1594399653.5202787
#M-C=139.50,-206.83,2.33,1594399653.526053
#G-C=-14.00,-10.00,6.00,1594399653.53168
#A-C=-9.22,3.07,240.64,1594399653.5401845
#M-C=139.17,-206.50,2.67,1594399653.546494
#G-C=2.00,-4.00,4.00,1594399653.5548549
#A-C=-10.24,3.07,241.66,1594399653.5601969
#M-C=139.50,-206.50,2.33,1594399653.5660493
#G-C=14.00,-2.00,7.00,1594399653.5705392
#A-C=-9.22,4.10,241.66,1594399653.5802684
#M-C=139.50,-206.50,2.83,1594399653.5884783
#G-C=-4.00,-7.00,-7.00,1594399653.5935128
#A-C=-9.22,3.07,243.71,1594399653.6002185
#M-C=139.83,-206.33,2.17,1594399653.6060636
#G-C=-2.00,254.00,1.00,1594399653.6109486
#A-C=-9.22,3.07,240.64,1594399653.620158
#M-C=139.50,-206.00,3.00,1594399653.6262069
#G-C=13.00,5.00,1.00,1594399653.6313772
#A-C=-9.22,3.07,243.71,1594399653.6400895
#M-C=139.50,-206.67,2.67,1594399653.6460092
#G-C=1.00,-8.00,-2.00,1594399653.652315
#A-C=-8.19,3.07,241.66,1594399653.660358
#M-C=139.67,-206.67,3.00,1594399653.666057
#G-C=7.00,-10.00,5.00,1594399653.671361
#A-C=-9.22,3.07,242.69,1594399653.6801572
#M-C=139.83,-207.00,2.50,1594399653.6860719
#G-C=0.00,-7.00,-9.00,1594399653.69087
#A-C=-9.22,3.07,242.69,1594399653.700096
#M-C=140.00,-206.17,2.50,1594399653.7069821
#G-C=16.00,-4.00,-12.00,1594399653.7129693
#A-C=-8.19,4.10,242.69,1594399653.72035
#M-C=139.50,-207.00,2.33,1594399653.7261834
#G-C=4.00,254.00,0.00,1594399653.730938
#A-C=-9.22,4.10,242.69,1594399653.7401774
#M-C=139.50,-206.67,2.67,1594399653.7461126
#G-C=-2.00,-4.00,2.00,1594399653.7511446
#A-C=-9.22,3.07,242.69,1594399653.7601736
#M-C=139.83,-206.67,2.33,1594399653.7660584
#G-C=-250.00,4.00,-7.00,1594399653.7712421
#A-C=-10.24,3.07,241.66,1594399653.7801096
#M-C=139.50,-206.17,2.83,1594399653.7860665
#G-C=12.00,-1.00,11.00,1594399653.7910407
#A-C=-9.22,3.07,242.69,1594399653.800096
#M-C=139.50,-206.50,2.67,1594399653.8061106
#G-C=8.00,-12.00,-10.00,1594399653.8123314
#A-C=-10.24,4.10,243.71,1594399653.8212104
#M-C=139.83,-206.67,3.00,1594399653.82924
#G-C=-5.00,-6.00,10.00,1594399653.8337417
#A-C=-8.19,3.07,240.64,1594399653.840254
#M-C=139.50,-207.00,2.50,1594399653.846524
#G-C=4.00,-11.00,-7.00,1594399653.8521223
#A-C=-10.24,3.07,241.66,1594399653.8602924
#M-C=139.17,-206.33,3.00,1594399653.8662744
#G-C=14.00,255.00,-6.00,1594399653.8725712
#A-C=-9.22,3.07,240.64,1594399653.8802347
#M-C=139.67,-206.17,2.50,1594399653.8860455
#G-C=2.00,-3.00,-1.00,1594399653.890942
#A-C=-8.19,2.05,243.71,1594399653.900191
#M-C=139.83,-206.50,3.00,1594399653.906206
#G-C=9.00,-3.00,-1.00,1594399653.9131298
#A-C=-9.22,3.07,243.71,1594399653.9202352
#M-C=139.17,-206.67,2.33,1594399653.9265704
#G-C=-252.00,0.00,-5.00,1594399653.9330204
#A-C=-9.22,2.05,243.71,1594399653.940182
#M-C=139.50,-206.67,2.83,1594399653.9461904
#G-C=13.00,-7.00,-8.00,1594399653.9522653
#A-C=-10.24,2.05,241.66,1594399653.9602332
#M-C=139.67,-206.33,2.67,1594399653.9662125
#G-C=2.00,-6.00,-5.00,1594399653.9718711
#A-C=-9.22,4.10,241.66,1594399653.980544
#M-C=139.50,-206.17,3.00,1594399653.9890556
#G-C=-4.00,5.00,245.00,1594399653.9937522
#A-C=-10.24,3.07,242.69,1594399654.0002124
#M-C=138.83,-206.67,2.83,1594399654.0062225
#G-C=4.00,0.00,2.00,1594399654.0113544
#A-C=-8.19,4.10,242.69,1594399654.0201523
#M-C=140.00,-205.83,3.17,1594399654.0263104
#G-C=2.00,-7.00,-2.00,1594399654.0342999
#A-C=-8.19,3.07,245.76,1594399654.0404055
#M-C=139.67,-206.67,2.83,1594399654.0459812
#G-C=2.00,-2.00,-8.00,1594399654.0497725
#A-C=-9.22,4.10,242.69,1594399654.060283
#M-C=139.50,-206.50,3.17,1594399654.0668976
#G-C=-1.00,-3.00,-7.00,1594399654.072111
#A-C=-10.24,2.05,241.66,1594399654.0800812
#M-C=139.67,-206.50,2.67,1594399654.086095
#G-C=-249.00,-2.00,13.00,1594399654.09225
#A-C=-8.19,4.10,243.71,1594399654.1003034
#M-C=139.67,-206.67,2.67,1594399654.1061153
#G-C=2.00,-7.00,9.00,1594399654.1124487
#A-C=-7.17,2.05,241.66,1594399654.1200478
#M-C=139.67,-206.33,3.00,1594399654.126222
#G-C=3.00,0.00,2.00,1594399654.1327646
#A-C=-9.22,4.10,242.69,1594399654.1404645
#M-C=139.50,-206.33,3.00,1594399654.150703
#G-C=-3.00,-6.00,-1.00,1594399654.1556818
#A-C=-9.22,3.07,238.59,1594399654.1607537
#M-C=139.67,-206.67,3.00,1594399654.168041
#G-C=-1.00,-2.00,-3.00,1594399654.1730003
#A-C=-9.22,3.07,242.69,1594399654.1800728
#M-C=139.50,-206.67,3.00,1594399654.1862276
#G-C=9.00,-7.00,-8.00,1594399654.1912026
#A-C=-10.24,5.12,242.69,1594399654.2003777
#M-C=139.67,-206.17,3.17,1594399654.206321
#G-C=247.00,-1.00,-10.00,1594399654.2126267
#A-C=-9.22,4.10,242.69,1594399654.220142
#M-C=139.50,-206.83,3.00,1594399654.2262342
#G-C=3.00,-4.00,5.00,1594399654.2328076
#A-C=-9.22,4.10,238.59,1594399654.2400627
#M-C=139.50,-206.33,3.00,1594399654.2461998
#G-C=-1.00,-4.00,5.00,1594399654.2512357
#A-C=-7.17,2.05,241.66,1594399654.2602494
#M-C=139.33,-206.50,3.00,1594399654.2661655
#G-C=16.00,3.00,-254.00,1594399654.2715054
#A-C=-9.22,4.10,243.71,1594399654.2802942
#M-C=139.17,-206.67,2.83,1594399654.2860916
#G-C=2.00,1.00,3.00,1594399654.2925177
#A-C=-12.29,3.07,240.64,1594399654.3002114
#M-C=139.17,-206.50,2.83,1594399654.306224
#G-C=3.00,-4.00,-2.00,1594399654.3127663
#A-C=-9.22,3.07,242.69,1594399654.3202143
